variable,date,best_model,rmse_vs_era5,correlation_vs_era5
Relative humidity,2015-02-09,RBF linear,19.71131625199198,0.432365591836188
Relative humidity,2015-02-10,RBF linear,15.957463680819266,0.5842057699845965
Relative humidity,2015-02-11,RBF linear,15.634527300534954,0.5656611744469674
Relative humidity,2015-02-12,RBF linear,21.541456249123488,0.4307026019696715
Relative humidity,2015-03-01,RBF linear,16.368003140549533,0.26662386786896464
Relative humidity,2015-03-02,RBF linear,19.583238418523827,-0.18610664983269493
Relative humidity,2015-03-03,RBF linear,9.223493829369879,0.7175689692874254
Relative humidity,2015-03-04,RBF linear,19.408902603826117,0.5295661181668495
Relative humidity,2015-03-05,RBF linear,15.958500099060666,0.5817553533875269
Relative humidity,2015-03-06,RBF linear,19.179116058573502,0.5525361107020287
Relative humidity,2015-03-07,RBF linear,18.44762069023993,0.46078094347766174
Relative humidity,2015-03-08,RBF linear,15.645278801930028,0.4757357517648019
Relative humidity,2015-03-09,RBF linear,15.473255954654906,0.6089532616703615
Relative humidity,2015-03-10,RBF linear,18.8255800845725,0.41362365158001724
Relative humidity,2015-03-11,RBF linear,18.829505114517325,0.500454341459541
Relative humidity,2015-03-12,RBF linear,20.54201682453193,0.3831942880714211
Relative humidity,2015-04-01,RBF linear,26.15903725585229,0.33940178458147824
Relative humidity,2015-04-02,RBF linear,21.502991559837106,0.5624466326046194
Relative humidity,2015-04-03,RBF linear,19.453878370095964,0.5671412532871792
Relative humidity,2015-04-04,RBF linear,11.621227133531045,0.8187230606767106
Relative humidity,2015-04-05,RBF linear,20.336943098319605,0.2970068249455811
Relative humidity,2015-04-06,RBF linear,18.97328348812566,0.6113972981662193
Relative humidity,2015-04-07,RBF linear,19.264445915694274,0.5265490440038376
Relative humidity,2015-04-08,RBF linear,17.04566429464656,0.5569535054312813
Relative humidity,2015-04-09,RBF linear,16.576938346892163,0.5712293109309003
Relative humidity,2015-04-10,RBF linear,21.394288105345474,0.40752924720962647
Relative humidity,2015-04-11,RBF linear,27.2041068470827,0.21992579025666303
Relative humidity,2015-04-12,RBF linear,21.352466667017378,0.40411670982802184
Relative humidity,2015-05-01,RBF linear,24.809567120733874,0.03385788279820116
Relative humidity,2015-05-02,RBF linear,22.6470568821874,0.46273629392182886
Relative humidity,2015-05-03,RBF linear,19.174675183924005,0.416407353115691
Relative humidity,2015-05-04,RBF linear,20.511017542222593,0.32035409641541635
Relative humidity,2015-05-05,RBF linear,11.825389569123054,0.7178085480786712
Relative humidity,2015-05-06,RBF linear,16.93126057980078,0.5344777641947065
Relative humidity,2015-05-07,RBF linear,19.077455124499384,0.39433395442881264
Relative humidity,2015-05-08,RBF linear,17.459398716016178,0.5204139198099547
